fromPokemon,toPokemon,Level,Condition
Bulbasaur,Ivysaur,16,
Ivysaur,Venusaur,32,
Charmander,Charmeleon,16,
Charmeleon,Charizard,36,
Squirtle,Wartortle,16,
Wartortle,Blastoise,36,
Caterpie,Metapod,7,
Metapod,Butterfree,10,
Weedle,Kakuna,7,
Kakuna,Beedrill,10,
Pidgey,Pidgeotto,18,
Pidgeotto,Pidgeot,36,
Rattata,Raticate,20,
Spearow,Fearow,20,
Ekans,Arbok,22,
Sandshrew,Sandslash,22,
Nidoran♀,Nidorina,16,
Nidoran♂,Nidorino,16,
Zubat,Golbat,22,
Oddish,Gloom,21,
Paras,Parasect,24,
Venonat,Venomoth,31,
Diglett,Dugtrio,26,
Meowth,Persian,28,
Psyduck,Golduck,33,
Mankey,Primeape,28,
Poliwag,Poliwhirl,25,
Abra,Kadabra,16,
Machop,Machoke,28,
Bellsprout,Weepinbell,21,
Tentacool,Tentacruel,30,
Geodude,Graveler,25,
Ponyta,Rapidash,40,
Slowpoke,Slowbro,37,
Magnemite,Magneton,30,
Doduo,Dodrio,31,
Seel,Dewgong,34,
Grimer,Muk,38,
Gastly,Haunter,25,
Drowzee,Hypno,26,
Krabby,Kingler,28,
Voltorb,Electrode,30,
Cubone,Marowak,28,
Koffing,Weezing,35,
Rhyhorn,Rhydon,42,
Horsea,Seadra,32,
Goldeen,Seaking,33,
Magikarp,Gyarados,20,
Omanyte,Omastar,40,
Kabuto,Kabutops,40,
Dratini,Dragonair,30,
Dragonair,Dragonite,55,
