fromPokemon,toPokemon,Item
Pikachu,Raichu,Thunder Stone
Nidorina,Nidoqueen,Moon Stone
Nidorino,Nidoking,Moon Stone
Clefairy,Clefable,Moon Stone
Vulpix,Ninetales,Fire Stone
Jigglypuff,Wigglytuff,Moon Stone
Gloom,Vileplume,Leaf Stone
Gloom,Bellossom,Sun Stone
Growlithe,Arcanine,Fire Stone
Poliwhirl,Poliwrath,Water Stone
Weepinbell,Victreebel,Leaf Stone
Shellder,Cloyster,Water Stone
Exeggcute,Exeggutor,Leaf Stone
Staryu,Starmie,Water Stone
Eevee,Vaporeon,Water Stone
Eevee,Jolteon,Thunder Stone
Eevee,Flareon,Fire Stone
