Person,GymRnk,City,Badge,Type,PokeID,Pokemon,Level
Brock,1,Pewter City,Boulder Badge,Rock,74,Geodude,12
Brock,1,Pewter City,Boulder Badge,Rock,95,Onix,14
Misty,2,Cerulean City,Cascade Badge,Water,120,Staryu,18
Misty,2,Cerulean City,Cascade Badge,Water,121,Starmie,21
Lt. Surge,3,Vermilion City,Thunder Badge,Electric,100,Voltorb,21
Lt. Surge,3,Vermilion City,Thunder Badge,Electric,25,Pikachu,18
Lt. Surge,3,Vermilion City,Thunder Badge,Electric,26,Raichu,24
Erika,4,Celadon City,Rainbow Badge,Grass,71,Victreebel,29
Erika,4,Celadon City,Rainbow Badge,Grass,114,Tangela,24
Erika,4,Celadon City,Rainbow Badge,Grass,45,Vileplume,29
Koga,5,Fuchsia City,Soul Badge,Poison,109,Koffing,37
Koga,5,Fuchsia City,Soul Badge,Poison,89,Muk,39
Koga,5,Fuchsia City,Soul Badge,Poison,110,Weezing,43
Sabrina,6,Saffron City,Marsh Badge,Psychic,64,Kadabra,38
Sabrina,6,Saffron City,Marsh Badge,Psychic,122,Mr. Mime,37
Sabrina,6,Saffron City,Marsh Badge,Psychic,49,Venomoth,38
Sabrina,6,Saffron City,Marsh Badge,Psychic,65,Alakazam,43
Blaine,7,Cinnabar Island,Volcano Badge,Fire,58,Growlithe,42
Blaine,7,Cinnabar Island,Volcano Badge,Fire,77,Ponyta,40
Blaine,7,Cinnabar Island,Volcano Badge,Fire,78,Rapidash,42
Blaine,7,Cinnabar Island,Volcano Badge,Fire,59,Arcanine,47
Giovanni,8,Viridian City,Earth Badge,Ground,111,Rhyhorn,45
Giovanni,8,Viridian City,Earth Badge,Ground,51,Dugtrio,42
Giovanni,8,Viridian City,Earth Badge,Ground,31,Nidoqueen,44
Giovanni,8,Viridian City,Earth Badge,Ground,34,Nidoking,45
Giovanni,8,Viridian City,Earth Badge,Ground,112,Rhydon,50
