"Pokemon","Move","Type","Power","Acc","Lvl","HM","TM","Method"
"Bulbasaur","Growl","Normal","—","100",1,NA,NA,"Level up"
"Bulbasaur","Tackle","Normal","35","95",1,NA,NA,"Level up"
"Bulbasaur","Leech Seed","Grass","—","90",7,NA,NA,"Level up"
"Bulbasaur","Vine Whip","Grass","35","100",13,NA,NA,"Level up"
"Bulbasaur","PoisonPowder","Poison","—","75",20,NA,NA,"Level up"
"Bulbasaur","Razor Leaf","Grass","55","95",27,NA,NA,"Level up"
"Bulbasaur","Growth","Normal","—","—",34,NA,NA,"Level up"
"Bulbasaur","Sleep Powder","Grass","—","75",41,NA,NA,"Level up"
"Bulbasaur","SolarBeam","Grass","120","100",48,NA,NA,"Level up"
"Bulbasaur","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Bulbasaur","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Bulbasaur","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Bulbasaur","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Bulbasaur","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Bulbasaur","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Bulbasaur","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Bulbasaur","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Bulbasaur","SolarBeam","Grass","120","100",NA,NA,22,"Technical Machine"
"Bulbasaur","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Bulbasaur","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Bulbasaur","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Bulbasaur","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Bulbasaur","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Bulbasaur","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Ivysaur","Growl","Normal","—","100",1,NA,NA,"Level up"
"Ivysaur","Leech Seed","Grass","—","90",1,NA,NA,"Level up"
"Ivysaur","Tackle","Normal","35","95",1,NA,NA,"Level up"
"Ivysaur","Leech Seed","Grass","—","90",7,NA,NA,"Level up"
"Ivysaur","Vine Whip","Grass","35","100",13,NA,NA,"Level up"
"Ivysaur","PoisonPowder","Poison","—","75",22,NA,NA,"Level up"
"Ivysaur","Razor Leaf","Grass","55","95",30,NA,NA,"Level up"
"Ivysaur","Growth","Normal","—","—",38,NA,NA,"Level up"
"Ivysaur","Sleep Powder","Grass","—","75",46,NA,NA,"Level up"
"Ivysaur","SolarBeam","Grass","120","100",54,NA,NA,"Level up"
"Ivysaur","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Ivysaur","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Ivysaur","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Ivysaur","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Ivysaur","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Ivysaur","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Ivysaur","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Ivysaur","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Ivysaur","SolarBeam","Grass","120","100",NA,NA,22,"Technical Machine"
"Ivysaur","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Ivysaur","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Ivysaur","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Ivysaur","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Ivysaur","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Ivysaur","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Venusaur","Growl","Normal","—","100",1,NA,NA,"Level up"
"Venusaur","Leech Seed","Grass","—","90",1,NA,NA,"Level up"
"Venusaur","Tackle","Normal","35","95",1,NA,NA,"Level up"
"Venusaur","Vine Whip","Grass","35","100",1,NA,NA,"Level up"
"Venusaur","Leech Seed","Grass","—","90",7,NA,NA,"Level up"
"Venusaur","Vine Whip","Grass","35","100",13,NA,NA,"Level up"
"Venusaur","PoisonPowder","Poison","—","75",22,NA,NA,"Level up"
"Venusaur","Razor Leaf","Grass","55","95",30,NA,NA,"Level up"
"Venusaur","Growth","Normal","—","—",43,NA,NA,"Level up"
"Venusaur","Sleep Powder","Grass","—","75",55,NA,NA,"Level up"
"Venusaur","SolarBeam","Grass","120","100",65,NA,NA,"Level up"
"Venusaur","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Venusaur","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Venusaur","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Venusaur","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Venusaur","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Venusaur","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Venusaur","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Venusaur","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
