web-scraper-order,web-scraper-start-url,pokemon_info
"1707412475-1","https://pokemondb.net/pokedex/game/red-blue-yellow","#001
 Bulbasaur
 Grass · Poison"
"1707412475-2","https://pokemondb.net/pokedex/game/red-blue-yellow","#002
 Ivysaur
 Grass · Poison"
"1707412475-3","https://pokemondb.net/pokedex/game/red-blue-yellow","#003
 Venusaur
 Grass · Poison"
"1707412475-4","https://pokemondb.net/pokedex/game/red-blue-yellow","#004
 Charmander
 Fire"
"1707412475-5","https://pokemondb.net/pokedex/game/red-blue-yellow","#005
 Charmeleon
 Fire"
"1707412475-6","https://pokemondb.net/pokedex/game/red-blue-yellow","#006
 Charizard
 Fire · Flying"
"1707412475-7","https://pokemondb.net/pokedex/game/red-blue-yellow","#007
 Squirtle
 Water"
"1707412475-8","https://pokemondb.net/pokedex/game/red-blue-yellow","#008
 Wartortle
 Water"
"1707412475-9","https://pokemondb.net/pokedex/game/red-blue-yellow","#009
 Blastoise
 Water"
"1707412475-10","https://pokemondb.net/pokedex/game/red-blue-yellow","#010
 Caterpie
 Bug"
"1707412475-11","https://pokemondb.net/pokedex/game/red-blue-yellow","#011
 Metapod
 Bug"
"1707412475-12","https://pokemondb.net/pokedex/game/red-blue-yellow","#012
 Butterfree
 Bug · Flying"
"1707412475-13","https://pokemondb.net/pokedex/game/red-blue-yellow","#013
 Weedle
 Bug · Poison"
"1707412475-14","https://pokemondb.net/pokedex/game/red-blue-yellow","#014
 Kakuna
 Bug · Poison"
"1707412475-15","https://pokemondb.net/pokedex/game/red-blue-yellow","#015
 Beedrill
 Bug · Poison"
"1707412475-16","https://pokemondb.net/pokedex/game/red-blue-yellow","#016
 Pidgey
 Normal · Flying"
"1707412475-17","https://pokemondb.net/pokedex/game/red-blue-yellow","#017
 Pidgeotto
 Normal · Flying"
"1707412475-18","https://pokemondb.net/pokedex/game/red-blue-yellow","#018
 Pidgeot
 Normal · Flying"
"1707412475-19","https://pokemondb.net/pokedex/game/red-blue-yellow","#019
 Rattata
 Normal"
"1707412475-20","https://pokemondb.net/pokedex/game/red-blue-yellow","#020
 Raticate
 Normal"
"1707412475-21","https://pokemondb.net/pokedex/game/red-blue-yellow","#021
 Spearow
 Normal · Flying"
"1707412475-22","https://pokemondb.net/pokedex/game/red-blue-yellow","#022
 Fearow
 Normal · Flying"
"1707412475-23","https://pokemondb.net/pokedex/game/red-blue-yellow","#023
 Ekans
 Poison"
"1707412475-24","https://pokemondb.net/pokedex/game/red-blue-yellow","#024
 Arbok
 Poison"
"1707412475-25","https://pokemondb.net/pokedex/game/red-blue-yellow","#025
 Pikachu
 Electric"
"1707412475-26","https://pokemondb.net/pokedex/game/red-blue-yellow","#026
 Raichu
 Electric"
"1707412475-27","https://pokemondb.net/pokedex/game/red-blue-yellow","#027
 Sandshrew
 Ground"
"1707412475-28","https://pokemondb.net/pokedex/game/red-blue-yellow","#028
 Sandslash
 Ground"
"1707412475-29","https://pokemondb.net/pokedex/game/red-blue-yellow","#029
 Nidoran♀
 Poison"
"1707412475-30","https://pokemondb.net/pokedex/game/red-blue-yellow","#030
 Nidorina
 Poison"
"1707412475-31","https://pokemondb.net/pokedex/game/red-blue-yellow","#031
 Nidoqueen
 Poison · Ground"
"1707412475-32","https://pokemondb.net/pokedex/game/red-blue-yellow","#032
 Nidoran♂
 Poison"
"1707412475-33","https://pokemondb.net/pokedex/game/red-blue-yellow","#033
 Nidorino
 Poison"
"1707412475-34","https://pokemondb.net/pokedex/game/red-blue-yellow","#034
 Nidoking
 Poison · Ground"
"1707412475-35","https://pokemondb.net/pokedex/game/red-blue-yellow","#035
 Clefairy
 Normal"
"1707412475-36","https://pokemondb.net/pokedex/game/red-blue-yellow","#036
 Clefable
 Normal"
"1707412475-37","https://pokemondb.net/pokedex/game/red-blue-yellow","#037
 Vulpix
 Fire"
"1707412475-38","https://pokemondb.net/pokedex/game/red-blue-yellow","#038
 Ninetales
 Fire"
"1707412475-39","https://pokemondb.net/pokedex/game/red-blue-yellow","#039
 Jigglypuff
 Normal"
"1707412475-40","https://pokemondb.net/pokedex/game/red-blue-yellow","#040
 Wigglytuff
 Normal"
"1707412475-41","https://pokemondb.net/pokedex/game/red-blue-yellow","#041
 Zubat
 Poison · Flying"
"1707412475-42","https://pokemondb.net/pokedex/game/red-blue-yellow","#042
 Golbat
 Poison · Flying"
"1707412475-43","https://pokemondb.net/pokedex/game/red-blue-yellow","#043
 Oddish
 Grass · Poison"
"1707412475-44","https://pokemondb.net/pokedex/game/red-blue-yellow","#044
 Gloom
 Grass · Poison"
"1707412475-45","https://pokemondb.net/pokedex/game/red-blue-yellow","#045
 Vileplume
 Grass · Poison"
"1707412475-46","https://pokemondb.net/pokedex/game/red-blue-yellow","#046
 Paras
 Bug · Grass"
"1707412475-47","https://pokemondb.net/pokedex/game/red-blue-yellow","#047
 Parasect
 Bug · Grass"
"1707412475-48","https://pokemondb.net/pokedex/game/red-blue-yellow","#048
 Venonat
 Bug · Poison"
"1707412475-49","https://pokemondb.net/pokedex/game/red-blue-yellow","#049
 Venomoth
 Bug · Poison"
"1707412475-50","https://pokemondb.net/pokedex/game/red-blue-yellow","#050
 Diglett
 Ground"
"1707412475-51","https://pokemondb.net/pokedex/game/red-blue-yellow","#051
 Dugtrio
 Ground"
