web-scraper-order,web-scraper-start-url,PokeID,Name,Total,HitPts,PhysAtk,PhysDef,SpecAtk,SpecDef,Speed
"1707414551-1","https://pokemondb.net/pokedex/all","0001","Bulbasaur","318","45","49","49","65","65","45"
"1707414551-2","https://pokemondb.net/pokedex/all","0002","Ivysaur","405","60","62","63","80","80","60"
"1707414551-3","https://pokemondb.net/pokedex/all","0003","Venusaur","525","80","82","83","100","100","80"
"1707414551-4","https://pokemondb.net/pokedex/all","0003","Venusaur
 Mega Venusaur","625","80","100","123","122","120","80"
"1707414551-5","https://pokemondb.net/pokedex/all","0004","Charmander","309","39","52","43","60","50","65"
"1707414551-6","https://pokemondb.net/pokedex/all","0005","Charmeleon","405","58","64","58","80","65","80"
"1707414551-7","https://pokemondb.net/pokedex/all","0006","Charizard","534","78","84","78","109","85","100"
"1707414551-8","https://pokemondb.net/pokedex/all","0006","Charizard
 Mega Charizard X","634","78","130","111","130","85","100"
"1707414551-9","https://pokemondb.net/pokedex/all","0006","Charizard
 Mega Charizard Y","634","78","104","78","159","115","100"
"1707414551-10","https://pokemondb.net/pokedex/all","0007","Squirtle","314","44","48","65","50","64","43"
"1707414551-11","https://pokemondb.net/pokedex/all","0008","Wartortle","405","59","63","80","65","80","58"
"1707414551-12","https://pokemondb.net/pokedex/all","0009","Blastoise","530","79","83","100","85","105","78"
"1707414551-13","https://pokemondb.net/pokedex/all","0009","Blastoise
 Mega Blastoise","630","79","103","120","135","115","78"
"1707414551-14","https://pokemondb.net/pokedex/all","0010","Caterpie","195","45","30","35","20","20","45"
"1707414551-15","https://pokemondb.net/pokedex/all","0011","Metapod","205","50","20","55","25","25","30"
"1707414551-16","https://pokemondb.net/pokedex/all","0012","Butterfree","395","60","45","50","90","80","70"
"1707414551-17","https://pokemondb.net/pokedex/all","0013","Weedle","195","40","35","30","20","20","50"
"1707414551-18","https://pokemondb.net/pokedex/all","0014","Kakuna","205","45","25","50","25","25","35"
"1707414551-19","https://pokemondb.net/pokedex/all","0015","Beedrill","395","65","90","40","45","80","75"
"1707414551-20","https://pokemondb.net/pokedex/all","0015","Beedrill
 Mega Beedrill","495","65","150","40","15","80","145"
"1707414551-21","https://pokemondb.net/pokedex/all","0016","Pidgey","251","40","45","40","35","35","56"
"1707414551-22","https://pokemondb.net/pokedex/all","0017","Pidgeotto","349","63","60","55","50","50","71"
"1707414551-23","https://pokemondb.net/pokedex/all","0018","Pidgeot","479","83","80","75","70","70","101"
"1707414551-24","https://pokemondb.net/pokedex/all","0018","Pidgeot
 Mega Pidgeot","579","83","80","80","135","80","121"
"1707414551-25","https://pokemondb.net/pokedex/all","0019","Rattata","253","30","56","35","25","35","72"
"1707414551-26","https://pokemondb.net/pokedex/all","0019","Rattata
 Alolan Rattata","253","30","56","35","25","35","72"
"1707414551-27","https://pokemondb.net/pokedex/all","0020","Raticate","413","55","81","60","50","70","97"
"1707414551-28","https://pokemondb.net/pokedex/all","0020","Raticate
 Alolan Raticate","413","75","71","70","40","80","77"
"1707414551-29","https://pokemondb.net/pokedex/all","0021","Spearow","262","40","60","30","31","31","70"
"1707414551-30","https://pokemondb.net/pokedex/all","0022","Fearow","442","65","90","65","61","61","100"
"1707414551-31","https://pokemondb.net/pokedex/all","0023","Ekans","288","35","60","44","40","54","55"
"1707414551-32","https://pokemondb.net/pokedex/all","0024","Arbok","448","60","95","69","65","79","80"
"1707414551-33","https://pokemondb.net/pokedex/all","0025","Pikachu","320","35","55","40","50","50","90"
